Store_ID,Group_ID
234,7eff2968-c4d4-470f-bbd3-32aec3892473
264,75a470ee-2c78-47d1-a1a4-541d8a1c2838
218,1d0eff2a-02ee-4a16-967b-965d54324a7c
246,ec91787f-3dc0-40e6-bebf-4523d99243b8
215,5b915df0-217e-40f1-8eb4-18f1e5513b0d
249,2bc4bc68-db4c-40ff-b844-b6b99fb2ffbf
336,eb02d2e3-6cf0-4e44-a6e5-8fff6c070208
283,446264b7-d071-4f0b-a203-0489d4e6e500
305,c2455605-a66b-4890-b9e5-388e0daafd2f
255,ff59665a-faad-4bc7-a7b9-fcf765038960
342,2df27c64-2775-49ac-a2e9-23b0920ed6e5
208,abdc3ca3-0487-4875-8b35-69b4d104735f
285,118bdae8-75f5-4b0c-b202-7ea5ece4c82a
288,915af0ca-8e5a-4138-a431-a8e0812f54ad
236,ae91cdf1-320e-4ed6-9213-fb4e914f0b85
309,d6137dbe-66f7-49e8-932c-9043f9501102
316,2f1fe00f-ed09-4ec6-9753-35e6c3af9066
359,c3043afa-9653-478c-aca2-ae186efe3130
253,8f00b015-7e64-402d-bf8d-a7039b901f44
240,00c71635-570c-41db-ad11-fe56ade1a70e
209,bff5a6c6-fab0-4d50-82e8-0ab05123ca29
334,a98734fb-a766-4613-84ee-74923562d31e
337,dd4cfa76-1c03-4bc1-b39e-079235525cdd
408,bed1572a-359e-4644-959d-2f8da147ab02
420,a44dfdd8-53ea-47ec-b009-6f1260339f27
419,c4db9f13-4b75-4835-acdf-925dc13e6850
341,d492b847-6dd3-4930-b24e-cf967e32fc76
327,ed145c2c-e9b4-498a-ab7b-1a2a5295aca5
227,8a8343a0-1cef-4a23-b271-81c30d80e61e
241,d2f8cd50-4904-4e6a-b201-9ceca0b2880b
248,367705ca-2fb7-4b34-9609-7a9637f1e468
325,1c7c57fa-88bd-4e26-b9f8-ea50cfa239d9
274,e7b1b303-bb88-4e80-81f8-f45a17e7aa3a
331,5d5bae02-6425-4d16-b671-a0147d42430c
219,9e860b48-c09e-4620-925f-081ca1864788
232,c22404aa-2236-45d6-a3f3-58648429d20c
